"Authors","Author full names","Author(s) ID","Title","Year","Source title","Volume","Issue","Art. No.","Page start","Page end","Cited by","DOI","Link","Document Type","Publication Stage","Source","EID"
"Medhi K.; Hussain M.I.","Medhi, Kishore (57202352325); Hussain, Md. Iftekhar (57213573139)","57202352325; 57213573139","Lightweight arrhythmia detection using cross-correlation","2022","4th International Conference on Recent Trends in Computer Science and Technology, ICRTCST 2021 - Proceedings","","","","296","301","2","10.1109/ICRTCST54752.2022.9781834","https://www.scopus.com/pages/publications/85132583554?origin=resultslist","Conference paper","Final","Scopus","2-s2.0-85132583554"
"Durga Siva Praveen B.; Sandeep D.V.N.; Raghavendra I.V.V.; Yuvaraj M.; Sarath S.","Durga Siva Praveen, B. (57485427700); Sandeep, D.V.N. (57219120195); Raghavendra, I.V.V. (57485840100); Yuvaraj, M. (57485427800); Sarath, S. (57195948861)","57485427700; 57219120195; 57485840100; 57485427800; 57195948861","Non-invasive Machine Learning approach for classifying Blood Pressure using PPG Signals in COVID situation","2021","2021 12th International Conference on Computing Communication and Networking Technologies, ICCCNT 2021","","","","","","8","10.1109/ICCCNT51525.2021.9579535","https://www.scopus.com/pages/publications/85126189953?origin=resultslist","Conference paper","Final","Scopus","2-s2.0-85126189953"
"Nakagami H.; Otsuka H.; Akiyama H.","Nakagami, Hironori (7006290279); Otsuka, Hiroki (57665272900); Akiyama, Hitoshi (57924502200)","7006290279; 57665272900; 57924502200","Monitoring with wearable devices will clarify the association between indoor temperature and blood pressure","2023","Hypertension Research","46","6","","1450","1455","1","10.1038/s41440-023-01261-7","https://www.scopus.com/pages/publications/85151075527?origin=resultslist","Review","Final","Scopus","2-s2.0-85151075527"
"Ed-Daoudy A.; Maalmi K.","Ed-Daoudy, Abderrahmane (57207360390); Maalmi, Khalil (7801502982)","57207360390; 7801502982","Real-time machine learning for early detection of heart disease using big data approach","2019","2019 International Conference on Wireless Technologies, Embedded and Intelligent Systems, WITS 2019","","","8723839","","","73","10.1109/WITS.2019.8723839","https://www.scopus.com/pages/publications/85067420251?origin=resultslist","Conference paper","Final","Scopus","2-s2.0-85067420251"
"Kerexeta J.; Larburu N.; Escolar V.; Lozano-Bahamonde A.; Macía I.; Beristain Iraola A.; Graña M.","Kerexeta, Jon (57203436313); Larburu, Nekane (57216551986); Escolar, Vanessa (57202159157); Lozano-Bahamonde, Ainara (57203428959); Macía, Iván (55761968500); Beristain Iraola, Andoni (57221462374); Graña, Manuel (7005388617)","57203436313; 57216551986; 57202159157; 57203428959; 55761968500; 57221462374; 7005388617","Prediction and Analysis of Heart Failure Decompensation Events Based on Telemonitored Data and Artificial Intelligence Methods","2023","Journal of Cardiovascular Development and Disease","10","2","48","","","16","10.3390/jcdd10020048","https://www.scopus.com/pages/publications/85148708811?origin=resultslist","Article","Final","Scopus","2-s2.0-85148708811"
"Alshurafa N.; Sideris C.; Pourhomayoun M.; Kalantarian H.; Sarrafzadeh M.; Eastwood J.-A.","Alshurafa, Nabil (14522018000); Sideris, Costas (54413209700); Pourhomayoun, Mohammad (36629285300); Kalantarian, Haik (55820889400); Sarrafzadeh, Majid (35596897200); Eastwood, Jo-Ann (12445727300)","14522018000; 54413209700; 36629285300; 55820889400; 35596897200; 12445727300","Remote Health Monitoring Outcome Success Prediction Using Baseline and First Month Intervention Data","2017","IEEE Journal of Biomedical and Health Informatics","21","2","7384415","507","514","50","10.1109/JBHI.2016.2518673","https://www.scopus.com/pages/publications/85015802708?origin=resultslist","Article","Final","Scopus","2-s2.0-85015802708"
"Ragav A.; Krishna N.H.; Narayanan N.; Thelly K.; Vijayaraghavan V.","Ragav, Abhijith (57215409994); Krishna, Nanda Harishankar (57210374401); Narayanan, Naveen (57215411571); Thelly, Kevin (57206902809); Vijayaraghavan, Vineeth (55928396100)","57215409994; 57210374401; 57215411571; 57206902809; 55928396100","Scalable deep learning for stress and affect detection on resource-constrained devices","2019","Proceedings - 18th IEEE International Conference on Machine Learning and Applications, ICMLA 2019","","","8999216","1585","1592","19","10.1109/ICMLA.2019.00261","https://www.scopus.com/pages/publications/85080965710?origin=resultslist","Conference paper","Final","Scopus","2-s2.0-85080965710"
"Bhagavan K.; Kavitha M.","Bhagavan, K. (57192690072); Kavitha, M. (57209436880)","57192690072; 57209436880","Smart Devices to Detect Health Abnormalities","2022","Lecture Notes on Data Engineering and Communications Technologies","93","","","397","408","0","10.1007/978-981-16-6605-6_29","https://www.scopus.com/pages/publications/85123367665?origin=resultslist","Book chapter","Final","Scopus","2-s2.0-85123367665"
"Van Laere D.; Meeus M.; Beirnaert C.; Sonck V.; Laukens K.; Mahieu L.; Mulder A.","Van Laere, David (56597956700); Meeus, Marisse (56600209300); Beirnaert, Charlie (56502399100); Sonck, Victor (57217381268); Laukens, Kris (6507414451); Mahieu, Ludo (7003350830); Mulder, Antonius (8081949800)","56597956700; 56600209300; 56502399100; 57217381268; 6507414451; 7003350830; 8081949800","Machine Learning to Support Hemodynamic Intervention in the Neonatal Intensive Care Unit","2020","Clinics in Perinatology","47","3","","435","448","12","10.1016/j.clp.2020.05.002","https://www.scopus.com/pages/publications/85087170452?origin=resultslist","Review","Final","Scopus","2-s2.0-85087170452"
"Poomari Durgar K.; Abirami M.S.","Poomari Durgar, K. (58806650900); Abirami, M.S. (58575626000)","58806650900; 58575626000","AI Clinical Decision Support System (AI-CDSS) for Cardiovascular Diseases","2023","2023 International Conference on Computer Science and Emerging Technologies, CSET 2023","","","","","","7","10.1109/CSET58993.2023.10346885","https://www.scopus.com/pages/publications/85182023585?origin=resultslist","Conference paper","Final","Scopus","2-s2.0-85182023585"
"Tabhane C.; Kature A.; Dewalkar M.; Sarode V.; Maske S.; Deshmukh A.","Tabhane, Chaitanya (58930950200); Kature, Ayush (58931141600); Dewalkar, Mrunal (58930755500); Sarode, Vaishnavi (58930368700); Maske, Siddhesh (58930755600); Deshmukh, Atul (57188762192)","58930950200; 58931141600; 58930755500; 58930368700; 58930755600; 57188762192","Design and Implementation of Cardiac Arrhythmia Detection using Machine Learning Algorithm for Healthcare Application","2023","2023 2nd International Conference on Futuristic Technologies, INCOFT 2023","","","","","","6","10.1109/INCOFT60753.2023.10425439","https://www.scopus.com/pages/publications/85187382635?origin=resultslist","Conference paper","Final","Scopus","2-s2.0-85187382635"
"Malachias M.V.B.","Malachias, Marcus Vinicius Bolivar (57001004200)","57001004200","The new paradigm of blood pressure measurement; [O novo paradigma de medição da pressão arterial]","2021","Arquivos Brasileiros de Cardiologia","117","3","","528","530","1","10.36660/abc.20210592","https://www.scopus.com/pages/publications/85115745205?origin=resultslist","Editorial","Final","Scopus","2-s2.0-85115745205"
"Walinjkar A.; Woods J.","Walinjkar, Amit (57191574696); Woods, John (7402318258)","57191574696; 7402318258","Personalized wearable systems for real-Time ECG classification and healthcare interoperability: Real-Time ECG classification and FHIR interoperability","2017","2017 Internet Technologies and Applications, ITA 2017 - Proceedings of the 7th International Conference","","","8101902","9","14","47","10.1109/ITECHA.2017.8101902","https://www.scopus.com/pages/publications/85041734851?origin=resultslist","Conference paper","Final","Scopus","2-s2.0-85041734851"
"Lee H.W.Y.; Chu C.T.K.; Yiu K.K.L.; Tsoi K.K.F.","Lee, Helen W.Y. (59625268200); Chu, Christopher T.K. (57224816601); Yiu, Karen K.L. (58707522200); Tsoi, Kelvin K.F. (16065259000)","59625268200; 57224816601; 58707522200; 16065259000","The application of image recognition and machine learning to capture readings of traditional blood pressure devices: A platform to promote population health management for cardiovascular diseases prevention","2021","Proceedings of the Annual Hawaii International Conference on System Sciences","2020-January","","","3445","3454","0","","https://www.scopus.com/pages/publications/85108374532?origin=resultslist","Conference paper","Final","Scopus","2-s2.0-85108374532"
"Kancharla K.; Estes N.A.","Kancharla, Krishna (57188715076); Estes, N. A. Mark (7103039231)","57188715076; 7103039231","Mobile cardiac monitoring during the COVID-19 pandemic: Necessity is the mother of invention","2020","Journal of Cardiovascular Electrophysiology","31","11","","2812","2813","3","10.1111/jce.14726","https://www.scopus.com/pages/publications/85090155028?origin=resultslist","Editorial","Final","Scopus","2-s2.0-85090155028"
"Piccini J.P.; Russo A.M.; Sharma P.S.; Kron J.; Tzou W.; Sauer W.; Park D.S.; Birgersdotter-Green U.; Frankel D.S.; Healey J.S.; Hummel J.; Koruth J.; Linz D.; Mittal S.; Nair D.G.; Nattel S.; Noseworthy P.A.; Steinberg B.A.; Trayanova N.A.; Wan E.Y.; Wissner E.; Zeitler E.P.; Wang P.J.","Piccini, Jonathan P. (8513824700); Russo, Andrea M. (56502926500); Sharma, Parikshit S. (55455289700); Kron, Jordana (14013709900); Tzou, Wendy (57210565371); Sauer, William (7102360865); Park, David S. (56524737500); Birgersdotter-Green, Ulrika (6603247788); Frankel, David S. (36116525600); Healey, Jeff S. (8084299100); Hummel, John (7103410425); Koruth, Jacob (8667189400); Linz, Dominik (16233517500); Mittal, Suneet (35461302900); Nair, Devi G. (57190677317); Nattel, Stanley (36048738800); Noseworthy, Peter A. (6506572738); Steinberg, Benjamin A. (7102870320); Trayanova, Natalia A. (7006409106); Wan, Elaine Y. (57218832213); Wissner, Erik (57192406903); Zeitler, Emily P. (55841336000); Wang, Paul J. (55553740028)","8513824700; 56502926500; 55455289700; 14013709900; 57210565371; 7102360865; 56524737500; 6603247788; 36116525600; 8084299100; 7103410425; 8667189400; 16233517500; 35461302900; 57190677317; 36048738800; 6506572738; 7102870320; 7006409106; 57218832213; 57192406903; 55841336000; 55553740028","Advances in Cardiac Electrophysiology","2022","Circulation: Arrhythmia and Electrophysiology","15","12","","E009911","","21","10.1161/CIRCEP.121.009911","https://www.scopus.com/pages/publications/85144145722?origin=resultslist","Review","Final","Scopus","2-s2.0-85144145722"
"Ramkumar G.; Seetha J.; Priyadarshini R.; Gopila M.; Saranya G.","Ramkumar, Govindaraj (56654228700); Seetha, J. (54883958100); Priyadarshini, R. (57195339751); Gopila, M. (18133694900); Saranya, G. (57188697833)","56654228700; 54883958100; 57195339751; 18133694900; 57188697833","IoT-based patient monitoring system for predicting heart disease using deep learning","2023","Measurement: Journal of the International Measurement Confederation","218","","113235","","","225","10.1016/j.measurement.2023.113235","https://www.scopus.com/pages/publications/85163143556?origin=resultslist","Article","Final","Scopus","2-s2.0-85163143556"
"El-Hajj C.; Kyriacou P.A.","El-Hajj, C. (57214227836); Kyriacou, P.A. (36739131800)","57214227836; 36739131800","A review of machine learning techniques in photoplethysmography for the non-invasive cuff-less measurement of blood pressure","2020","Biomedical Signal Processing and Control","58","","101870","","","257","10.1016/j.bspc.2020.101870","https://www.scopus.com/pages/publications/85078426852?origin=resultslist","Review","Final","Scopus","2-s2.0-85078426852"
"","","","1st International Conference on Advanced Communication and Intelligent Systems, ICACIS 2022","2023","Communications in Computer and Information Science","1749 CCIS","","","","","0","","https://www.scopus.com/pages/publications/85151123384?origin=resultslist","Conference review","Final","Scopus","2-s2.0-85151123384"
"","","","1st International Conference on Expert Clouds and Applications, ICOECA 2022","2022","Lecture Notes in Networks and Systems","444","","","","","0","","https://www.scopus.com/pages/publications/85136915450?origin=resultslist","Conference review","Final","Scopus","2-s2.0-85136915450"
"Krittanawong C.; Kaplin S.","Krittanawong, Chayakrit (57188642415); Kaplin, Scott (57205493961)","57188642415; 57205493961","Artificial Intelligence in Global Health","2021","European Heart Journal","42","24","","2321","2322","12","10.1093/eurheartj/ehab036","https://www.scopus.com/pages/publications/85109052545?origin=resultslist","Article","Final","Scopus","2-s2.0-85109052545"
"Bin Heyat M.B.; Akhtar F.; Abbas S.J.; Al-Sarem M.; Alqarafi A.; Stalin A.; Abbasi R.; Muaad A.Y.; Lai D.; Wu K.","Bin Heyat, Md Belal (57209776711); Akhtar, Faijan (57212493332); Abbas, Syed Jafar (57218845775); Al-Sarem, Mohammed (43461087100); Alqarafi, Abdulrahman (57202536897); Stalin, Antony (56845460200); Abbasi, Rashid (56012561100); Muaad, Abdullah Y. (57226400380); Lai, Dakun (56285568200); Wu, Kaishun (22982222400)","57209776711; 57212493332; 57218845775; 43461087100; 57202536897; 56845460200; 56012561100; 57226400380; 56285568200; 22982222400","Wearable Flexible Electronics Based Cardiac Electrode for Researcher Mental Stress Detection System Using Machine Learning Models on Single Lead Electrocardiogram Signal","2022","Biosensors","12","6","427","","","98","10.3390/bios12060427","https://www.scopus.com/pages/publications/85132639692?origin=resultslist","Article","Final","Scopus","2-s2.0-85132639692"
"Casalino G.; Castellano G.; Zaza G.","Casalino, Gabriella (50261398700); Castellano, Giovanna (7005355310); Zaza, Gianluca (57194102583)","50261398700; 7005355310; 57194102583","On the use of FIS inside a Telehealth system for cardiovascular risk monitoring","2021","2021 29th Mediterranean Conference on Control and Automation, MED 2021","","","9480180","173","178","6","10.1109/MED51440.2021.9480180","https://www.scopus.com/pages/publications/85113696451?origin=resultslist","Conference paper","Final","Scopus","2-s2.0-85113696451"
"Cao F.; Budhota A.; Chen H.; Rajput K.S.","Cao, Fan (55650182800); Budhota, Aamani (56560124500); Chen, Hao (57221552082); Rajput, Kuldeep Singh (57203180099)","55650182800; 56560124500; 57221552082; 57203180099","Feature matching based ECG generative network for arrhythmia event augmentation","2020","Proceedings of the Annual International Conference of the IEEE Engineering in Medicine and Biology Society, EMBS","2020-July","","9175668","296","299","13","10.1109/EMBC44109.2020.9175668","https://www.scopus.com/pages/publications/85091001209?origin=resultslist","Conference paper","Final","Scopus","2-s2.0-85091001209"
"Hassan F.; Shaheen M.E.; Sahal R.","Hassan, Fawzya (57841634700); Shaheen, Masoud E. (57215580517); Sahal, Radhya (55920179800)","57841634700; 57215580517; 55920179800","Real-time healthcare monitoring system using online machine learning and spark streaming","2020","International Journal of Advanced Computer Science and Applications","11","9","","650","658","20","10.14569/IJACSA.2020.0110977","https://www.scopus.com/pages/publications/85091950027?origin=resultslist","Article","Final","Scopus","2-s2.0-85091950027"
"Lee Y.; Lee N.; Pham V.; Lee J.; Chung T.-M.","Lee, Yongho (57199021794); Lee, Nahyun (60418613700); Pham, Vinh (57212558046); Lee, Jiwoo (57976308000); Chung, Tai-Myoung (60040268400)","57199021794; 60418613700; 57212558046; 57976308000; 60040268400","Privacy Preserving Stress Detection System Using Physiological Data from Wearable Device","2023","Applied Human Factors and Ergonomics International","69","","","340","347","4","10.54941/ahfe1002853","https://www.scopus.com/pages/publications/105031555441?origin=resultslist","Book chapter","Final","Scopus","2-s2.0-105031555441"
"Bhave A.; Gaikwad S.","Bhave, Aalapi (58653664300); Gaikwad, Siddharth (57656701100)","58653664300; 57656701100","Prediction of Ischemic Heart Disease in Patients Diagnosed with Coronavirus Disease (Covid-19) or Showing Symptoms of the Same using Machine Learning Algorithms and Ensemble Techniques","2023","14th International Conference on Advances in Computing, Control, and Telecommunication Technologies, ACT 2023","2023-June","","","576","581","0","","https://www.scopus.com/pages/publications/85174419320?origin=resultslist","Conference paper","Final","Scopus","2-s2.0-85174419320"
"Babu G.C.; Shantharajah S.P.","Babu, Gokulnath Chandra (56636159000); Shantharajah, S.P. (24725519400)","56636159000; 24725519400","Remote health patient monitoring system for early detection of heart disease","2021","International Journal of Grid and High Performance Computing","13","2","","118","130","7","10.4018/IJGHPC.2021040107","https://www.scopus.com/pages/publications/85102278628?origin=resultslist","Article","Final","Scopus","2-s2.0-85102278628"
"Rao K.D.; Kumar M.S.D.; Pavani P.; Akshitha D.; Rao K.N.; Rauf H.T.; Sharaf M.","Rao, Kuna Dhananjay (56136948300); Kumar, Mudunuru Satya Dev (58423228600); Pavani, Paidi (59308134200); Akshitha, Darapureddy (59773462900); Rao, Kagitha Nagamaleswara (57777203300); Rauf, Hafiz Tayyab (57204077842); Sharaf, Mohamed (57209909590)","56136948300; 58423228600; 59308134200; 59773462900; 57777203300; 57204077842; 57209909590","Cardiovascular disease prediction using hyperparameters-tuned LSTM considering COVID-19 with experimental validation","2023","AIMS Bioengineering","10","3","","265","282","0","10.3934/bioeng.2023017","https://www.scopus.com/pages/publications/105004376481?origin=resultslist","Article","Final","Scopus","2-s2.0-105004376481"
"Hanumantharaju R.; Shreenath K.N.; Sowmya B.J.; Srinivasa K.G.","Hanumantharaju, R. (57204893756); Shreenath, K.N. (55882026300); Sowmya, B.J. (56702849300); Srinivasa, K.G. (6602816666)","57204893756; 55882026300; 56702849300; 6602816666","Fog based smart healthcare: a machine learning paradigms for IoT sector","2022","Multimedia Tools and Applications","81","26","","37299","37318","14","10.1007/s11042-022-13530-7","https://www.scopus.com/pages/publications/85137051770?origin=resultslist","Retracted","Final","Scopus","2-s2.0-85137051770"
"Singhal A.; Cowie M.R.","Singhal, Arvind (57204665747); Cowie, Martin R. (7006231575)","57204665747; 7006231575","The Role of Wearables in Heart Failure","2020","Current Heart Failure Reports","17","4","","125","132","70","10.1007/s11897-020-00467-x","https://www.scopus.com/pages/publications/85085976520?origin=resultslist","Review","Final","Scopus","2-s2.0-85085976520"
"Paganelli A.I.; Mondéjar A.G.; da Silva A.C.; Silva-Calpa G.; Teixeira M.F.; Carvalho F.; Raposo A.; Endler M.","Paganelli, Antonio Iyda (57409215000); Mondéjar, Abel González (57203124011); da Silva, Abner Cardoso (57479549300); Silva-Calpa, Greis (57200627100); Teixeira, Mateus F. (57479549400); Carvalho, Felipe (23396260500); Raposo, Alberto (6603721426); Endler, Markus (7006039885)","57409215000; 57203124011; 57479549300; 57200627100; 57479549400; 23396260500; 6603721426; 7006039885","Real-time data analysis in health monitoring systems: A comprehensive systematic literature review","2022","Journal of Biomedical Informatics","127","","104009","","","94","10.1016/j.jbi.2022.104009","https://www.scopus.com/pages/publications/85125883978?origin=resultslist","Review","Final","Scopus","2-s2.0-85125883978"
"Duong L.T.; Doan T.T.H.; Chu C.Q.; Nguyen P.T.","Duong, Linh T. (57215526879); Doan, Thu T.H. (58062812600); Chu, Cong Q. (57540487900); Nguyen, Phuong T. (57209915714)","57215526879; 58062812600; 57540487900; 57209915714","Fusion of edge detection and graph neural networks to classifying electrocardiogram signals","2023","Expert Systems with Applications","225","","120107","","","28","10.1016/j.eswa.2023.120107","https://www.scopus.com/pages/publications/85153113510?origin=resultslist","Article","Final","Scopus","2-s2.0-85153113510"
"Aversano L.; Bernardi M.L.; Cimitile M.; Iammarino M.; Montano D.; Verdone C.","Aversano, Lerina (6701736448); Bernardi, Mario Luca (57195515766); Cimitile, Marta (23392132800); Iammarino, Martina (57215347660); Montano, Debora (57751325700); Verdone, Chiara (57291773200)","6701736448; 57195515766; 23392132800; 57215347660; 57751325700; 57291773200","Using Machine Learning for early prediction of Heart Disease","2022","IEEE Conference on Evolving and Adaptive Intelligent Systems","2022-May","","","","","21","10.1109/EAIS51927.2022.9787720","https://www.scopus.com/pages/publications/85132279657?origin=resultslist","Conference paper","Final","Scopus","2-s2.0-85132279657"
"Malepati N.; Fatima R.; Gupta S.; Ramsali V.; Rk S.","Malepati, Niyatha (57219487793); Fatima, Rubia (57202444002); Gupta, Swarnima (58596373100); Ramsali, Vaishnavi (57219485836); Rk, Shobha (36024109500)","57219487793; 57202444002; 58596373100; 57219485836; 36024109500","Portable ECG Device for Remote Monitoring and Detection of Onset of Arrhythmia","2020","Proceedings of CONECCT 2020 - 6th IEEE International Conference on Electronics, Computing and Communication Technologies","","","9198658","","","8","10.1109/CONECCT50063.2020.9198658","https://www.scopus.com/pages/publications/85093075756?origin=resultslist","Conference paper","Final","Scopus","2-s2.0-85093075756"
"Jahnavi D.; Dash A.; Bs R.; Ghosh N.; Patra A.; Mandana K.M.; Khandelwal S.","Jahnavi, Dhaladhuli (57892328900); Dash, Ashutosh (57213595192); Bs, Rajeshwari (57892165700); Ghosh, Nirmalya (57198293664); Patra, Amit (7102009077); Mandana, K.M. (7801503220); Khandelwal, Sundeep (57200558007)","57892328900; 57213595192; 57892165700; 57198293664; 7102009077; 7801503220; 57200558007","Non-invasive Coronary Artery Disease Screening Based on Electrocardiogram Characteristics and Clinical Risk Factors","2023","Proceedings of the Annual International Conference of the IEEE Engineering in Medicine and Biology Society, EMBS","","","","","","2","10.1109/EMBC40787.2023.10340892","https://www.scopus.com/pages/publications/85179646605?origin=resultslist","Conference paper","Final","Scopus","2-s2.0-85179646605"
"Ji N.; Xiang T.; Bonato P.; Lovell N.H.; Ooi S.-Y.; Clifton D.A.; Akay M.; Ding X.-R.; Yan B.P.; Mok V.; Fotiadis D.I.; Zhang Y.-T.","Ji, Nan (57216807324); Xiang, Ting (57216812545); Bonato, Paolo (7006225560); Lovell, Nigel H. (7006684228); Ooi, Sze-Yuan (34971772600); Clifton, David A. (14036806800); Akay, Metin (7102443027); Ding, Xiao-Rong (56145146600); Yan, Bryan P. (7201858670); Mok, Vincent (6603736999); Fotiadis, Dimitrios I. (55938920100); Zhang, Yuan-Ting (56255024900)","57216807324; 57216812545; 7006225560; 7006684228; 34971772600; 14036806800; 7102443027; 56145146600; 7201858670; 6603736999; 55938920100; 56255024900","Recommendation to Use Wearable-Based mHealth in Closed-Loop Management of Acute Cardiovascular Disease Patients during the COVID-19 Pandemic","2021","IEEE Journal of Biomedical and Health Informatics","25","4","9356122","903","908","41","10.1109/JBHI.2021.3059883","https://www.scopus.com/pages/publications/85100934286?origin=resultslist","Article","Final","Scopus","2-s2.0-85100934286"
"Chowdhury M.E.H.; Khandakar A.; Alzoubi K.; Mansoor S.; Tahir A.M.; Ibne Reaz M.B.; Emadi N.A.","Chowdhury, Muhammad E. H. (8964151000); Khandakar, Amith (36053012700); Alzoubi, Khawla (35110879700); Mansoor, Samar (57209733896); Tahir, Anas M. (57203064661); Ibne Reaz, Mamun Bin (6602752147); Emadi, Nasser Al (24802122700)","8964151000; 36053012700; 35110879700; 57209733896; 57203064661; 6602752147; 24802122700","Real-time smart-digital stethoscope system for heart diseases monitoring","2019","Sensors (Switzerland)","19","12","2781","","","144","10.3390/s19122781","https://www.scopus.com/pages/publications/85068575583?origin=resultslist","Article","Final","Scopus","2-s2.0-85068575583"
"Nagajothi S.; Jayasheela M.; Ishwarya T.; Sabitha R.; Keerthana G.","Nagajothi, S. (57215086259); Jayasheela, M. (55372708800); Ishwarya, T. (58919813300); Sabitha, R. (59431649300); Keerthana, G. (57201187505)","57215086259; 55372708800; 58919813300; 59431649300; 57201187505","Pre-Cardiac arrythmia detection using Machine Learning","2023","Proceedings - 1st International Conference on Intelligent Technologies for Sustainable Electric and Communications Systems, iTech SECOM 2023","","","","237","241","1","10.1109/iTechSECOM59882.2023.10435052","https://www.scopus.com/pages/publications/85186692501?origin=resultslist","Conference paper","Final","Scopus","2-s2.0-85186692501"
"Pramukantoro E.S.; Gofuku A.","Pramukantoro, Eko Sakti (57193826850); Gofuku, Akio (6603913014)","57193826850; 6603913014","A Heartbeat Classifier for Continuous Prediction Using a Wearable Device","2022","Sensors","22","14","5080","","","22","10.3390/s22145080","https://www.scopus.com/pages/publications/85133447963?origin=resultslist","Article","Final","Scopus","2-s2.0-85133447963"
"Alves S.S.A.; Ohata E.F.; Sousa P.C., Jr.; Barroso C.B.; Nascimento N.M.M.; Loureiro L.L.; Bittencourt V.Z.; Capistrano V.L.M., Jr.; da Rocha A.R.; Filho P.P.R.","Alves, Shara S.A. (57189354570); Ohata, Elene F. (57211924045); Sousa, Pedro C. (58597606500); Barroso, Calleo B. (58477303200); Nascimento, Navar M.M. (57203415886); Loureiro, Luiz Lannes (56672204900); Bittencourt, Victor Zaban (57221705988); Capistrano, Valden Luis Matos (58031891500); da Rocha, Atslands R. (34874788100); Filho, Pedro P. Rebouças (55623130500)","57189354570; 57211924045; 58597606500; 58477303200; 57203415886; 56672204900; 57221705988; 58031891500; 34874788100; 55623130500","Sex-based approach to estimate human body fat percentage from 2D camera images with deep learning and machine learning","2023","Measurement: Journal of the International Measurement Confederation","219","","113213","","","7","10.1016/j.measurement.2023.113213","https://www.scopus.com/pages/publications/85164223315?origin=resultslist","Article","Final","Scopus","2-s2.0-85164223315"
"Jahangir Alam Majumder A.K.M.; ElSaadany M.; Izaguirre J.A.; Ucci D.R.","Jahangir Alam Majumder, A.K.M. (55980342600); ElSaadany, Mohammed (57194420758); Izaguirre, Joshua Aaron (57211111357); Ucci, Donald R. (6603876932)","55980342600; 57194420758; 57211111357; 6603876932","A real-time cardiac monitoring using a multisensory smart IoT system","2019","Proceedings - International Computer Software and Applications Conference","2","","8754015","281","287","13","10.1109/COMPSAC.2019.10220","https://www.scopus.com/pages/publications/85072660882?origin=resultslist","Conference paper","Final","Scopus","2-s2.0-85072660882"
"Giarraputo A.; Barison I.; Fedrigo M.; Burrello J.; Castellani C.; Tona F.; Bottio T.; Gerosa G.; Barile L.; Angelini A.","Giarraputo, Alessia (57221769958); Barison, Ilaria (57221760587); Fedrigo, Marny (36157610600); Burrello, Jacopo (54402434900); Castellani, Chiara (7007040373); Tona, Francesco (6603076988); Bottio, Tomaso (12041855900); Gerosa, Gino (7005516149); Barile, Lucio (7003465027); Angelini, Annalisa (7006677024)","57221769958; 57221760587; 36157610600; 54402434900; 7007040373; 6603076988; 12041855900; 7005516149; 7003465027; 7006677024","A changing paradigm in heart transplantation: An integrative approach for invasive and non-invasive allograft rejection monitoring","2021","Biomolecules","11","2","201","1","17","18","10.3390/biom11020201","https://www.scopus.com/pages/publications/85100079891?origin=resultslist","Review","Final","Scopus","2-s2.0-85100079891"
"Barot V.; Patel D.R.","Barot, Vishal (57364076400); Patel, Dr. Ritesh (56857095000)","57364076400; 56857095000","A physiological signal compression approach using optimized Spindle Convolutional Auto-encoder in mHealth applications","2022","Biomedical Signal Processing and Control","73","","103436","","","10","10.1016/j.bspc.2021.103436","https://www.scopus.com/pages/publications/85120708188?origin=resultslist","Article","Final","Scopus","2-s2.0-85120708188"
"Szep J.I.; Hariri S.; Khalpey Z.","Szep, Jeno I. (58854094300); Hariri, Salim (7005427754); Khalpey, Zain (16506630200)","58854094300; 7005427754; 16506630200","Predictive diagnosis of fatal heart rhythms using wearables","2019","Simulation Series","51","5","","","","2","10.23919/SpringSim.2019.8732885","https://www.scopus.com/pages/publications/85073676522?origin=resultslist","Conference paper","Final","Scopus","2-s2.0-85073676522"
"Al Ahdal A.; Rakhra M.; Rajendran R.R.; Arslan F.; Khder M.A.; Patel B.; Rajagopal B.R.; Jain R.","Al Ahdal, Ahmed (57657350900); Rakhra, Manik (57202981339); Rajendran, Rahul R. (59756381500); Arslan, Farrukh (55270484900); Khder, Moaiad Ahmad (24529161800); Patel, Binit (58717987800); Rajagopal, Balaji Ramkumar (57831263300); Jain, Rituraj (55449858600)","57657350900; 57202981339; 59756381500; 55270484900; 24529161800; 58717987800; 57831263300; 55449858600","Monitoring Cardiovascular Problems in Heart Patients Using Machine Learning","2023","Journal of Healthcare Engineering","2023","","9738123","","","48","10.1155/2023/9738123","https://www.scopus.com/pages/publications/85148680984?origin=resultslist","Retracted","Final","Scopus","2-s2.0-85148680984"
"Mansour M.","Mansour, Moussa (7202600315)","7202600315","LETTER FROM THE EDITOR IN CHIEF","2022","Journal of Innovations in Cardiac Rhythm Management","13","2","","A5","","0","10.19102/icrm.2022.130206","https://www.scopus.com/pages/publications/85130613214?origin=resultslist","Editorial","Final","Scopus","2-s2.0-85130613214"
"Ambale-Venkatesh B.; Lima J.A.C.","Ambale-Venkatesh, Bharath (36605465800); Lima, João A.C. (7202778154)","36605465800; 7202778154","Human-in-the-Loop Artificial Intelligence in Cardiac MRI","2022","Radiology","305","1","","80","81","3","10.1148/radiol.221132","https://www.scopus.com/pages/publications/85138487157?origin=resultslist","Editorial","Final","Scopus","2-s2.0-85138487157"
